course_id,date,discipline,hippodrome,partants,numcourse,distance,prono1,prono2,prono3,prono4,prono5,prono6,prono7,prono8,a1,a2,a3,a4,a5,rapport,r_b1,r_b2,top3,top4,top3_1,top3_2,top4_1,top4_2,a1_imp,a2_imp,a1_inf9,a2_inf9,cplg_top3,cplg_top4,top3_1_top4,top3_2_top4,top3_3_top4,siprono1<9-A1<9,siprono2<9-A1<9,siprono3<9-A1<9,siprono1<9-A2<9,siprono2<9-A2<9,siprono3<9-A2<9,Siprono1>8-A1>8,siprono2>8-A1>8,siprono3>8-A1>8,siprono1>8-A2>8,siprono2>8-A2>8,siprono3>8-A2>8
05/09/22_Craon_C4,05/09/22,trot,Craon,14,C4,2775,11,14,13,2,1,6,7,9,2,14,11,1,4,12.0,1,1,"[11,14,13]","[2,1,6,7]",0,1,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1
06/09/22_Auteuil_C4,06/09/22,galop,Auteuil,16,C4,3600,1,9,5,11,10,4,3,8,7,9,5,15,4,19.0,0,1,"[1,9,5]","[11,10,4,3]",0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
07/09/22_MeslayduMaine_C1,07/09/22,trot,MeslayduMaine,16,C1,2875,11,2,6,1,3,12,13,8,11,6,3,1,8,2.2,1,1,"[11,2,6]","[1,3,12,13]",1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
08/09/22_Longchamps_C5,08/09/22,galop,Longchamps,16,C5,2200,3,4,1,11,6,2,12,16,3,6,4,16,2,3.4,1,1,"[3,4,1]","[11,6,2,12]",1,0,0,1,1,0,1,1,1,1,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0
09/09/22_Vincennes_C3,09/09/22,trot,Vincennes,14,C3,2850,7,6,10,11,1,2,8,12,11,8,10,1,7,4.8,1,1,"[7,6,10]","[11,1,2,8]",0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
10/09/22_Vincennes_C3,10/09/22,trot,Vincennes,13,C3,2100,5,13,6,7,4,11,12,2,7,13,5,2,8,9.1,1,1,"[5,13,6]","[7,4,11,12]",0,1,1,0,1,1,1,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0
11/09/22_Longchamps_C4,11/09/22,galop,Longchamps,16,C4,1400,3,8,11,15,6,10,1,7,11,15,1,7,3,9.8,1,1,"[3,8,11]","[15,6,10,1]",1,0,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1
12/09/22_Beaumont_C4,12/09/22,trot,Beaumont,16,C4,2550,11,8,5,1,4,9,6,7,11,4,8,6,5,2.9,1,1,"[11,8,5]","[1,4,9,6]",1,0,0,1,1,0,0,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0
13/09/22_Auteuil_C2,13/09/22,galop,Auteuil,16,C2,3600,6,13,12,1,7,5,9,15,7,6,1,13,16,11.0,1,1,"[6,13,12]","[1,7,5,9]",0,1,1,0,1,0,1,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14/09/22_Compiegne_C1,14/09/22,galop,Compiegne,16,C1,1600,9,6,2,7,12,10,3,8,16,7,9,6,13,29.0,0,1,"[9,6,2]","[7,12,10,3]",0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
15/09/22_Longchamps_C6,15/09/22,galop,Longchamps,16,C6,2000,9,1,8,6,11,7,13,4,6,10,7,9,1,8.7,1,0,"[9,1,8]","[6,11,7,13]",0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
16/09/22_Vincennes_C3,16/09/22,trot,Vincennes,15,C3,2850,15,6,1,9,7,12,13,5,15,5,3,1,8,3.3,1,1,"[15,6,1]","[9,7,12,13]",1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
17/09/22_Chantilly_C3,17/09/22,galop,Chantilly,16,C3,1200,7,2,3,5,1,8,9,10,2,7,1,9,8,8.5,1,1,"[7,2,3]","[5,1,8,9]",1,1,0,0,0,1,1,1,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
